Datenreihen-Informationen
Name:			24_T1_-10hPa_2gL_Xan 3
Benutzer:			Christoph
Bemerkung:			d=4mm
Anzahl Abschnitte:			1
Applikation:			RHEOPLUS/32 V3.21 21001964-33025
Messgerät:			MCR300 SN651691; FW3.22; Slot2
Datum/Zeit:			06.06.2017; 16:32
Messsystem:			PPR 25; [d=4 mm]
Zusatzgeräte:			TU1=TEK 150P-C

Umrechnungskonstanten:
- Norm. Csr [min/s]:			1,3068502
- Norm. Css [Pa/mNm]:			327,55827
- Startverzögerungszeit [s]:			20,235
- Messsystem-Typ:			1
- Motorkorrekturfaktor:			1

Abschnitt:			1
Anzahl Messpunkte:			30

Zeitvorgabe:			30 Messpunkte
Messprofil:
- Deformation			Amplitude gamma = 0,0001 ... 100 % log
			Frequenz f = 0,5 Hz

Messpkt.	Deformation	Schubspannung	Scherrate	Speichermodul	Verlustmodul	Verlustfaktor	Normalkraft	Auslenkwinkel	Moment	Status
	[%]	[Pa]	[1/s]	[Pa]	[Pa]	[1]	[N]	[mrad]	[µNm]	[]
1	0,00009983	4,394E-1	3,136E-6	4,355E+5	6,351E+4	0,1458	0,3635	0,00032	1,341	DSO
2	0,0001608	7,247E-1	5,051E-6	4,468E+5	5,951E+4	0,1332	0,3421	0,0005154	2,212	DSO
3	0,0002593	1,189E0	8,146E-6	4,55E+5	5,61E+4	0,1233	0,3267	0,0008311	3,629	DSO
4	0,0004172	1,923E0	1,311E-5	4,58E+5	5,264E+4	0,1149	0,3123	0,001337	5,872	DSO
5	0,000672	3,1E0	2,111E-5	4,583E+5	5,295E+4	0,1155	0,301	0,002154	9,465	DSO
6	0,001082	4,983E0	3,4E-5	4,575E+5	5,106E+4	0,1116	0,2924	0,003469	15,21	DSO
7	0,001743	7,949E0	5,475E-5	4,532E+5	5,105E+4	0,1126	0,2798	0,005586	24,27	DSO
8	0,002807	1,252E+1	8,818E-5	4,433E+5	5,117E+4	0,1154	0,2693	0,008997	38,24	DSO
9	0,004519	1,955E+1	1,42E-4	4,292E+5	5,382E+4	0,1254	0,2785	0,01448	59,67	DSO
10	0,007278	3,031E+1	2,286E-4	4,131E+5	5,271E+4	0,1276	0,2611	0,02333	92,52	DSO
11	0,01172	4,5E+1	3,681E-4	3,801E+5	5,485E+4	0,1443	0,2515	0,03756	137,4	DSO
12	0,01887	6,483E+1	5,929E-4	3,39E+5	5,575E+4	0,1645	0,2463	0,06049	197,9	DSO
13	0,03038	8,955E+1	9,545E-4	2,895E+5	5,514E+4	0,1904	0,2416	0,09739	273,4	DSO
14	0,04893	1,184E+2	1,537E-3	2,363E+5	5,207E+4	0,2203	0,2321	0,1568	361,5	DSO
15	0,07878	1,493E+2	2,475E-3	1,837E+5	4,648E+4	0,253	0,2186	0,2525	455,8	DSO
16	0,1269	1,778E+2	3,986E-3	1,346E+5	3,873E+4	0,2876	0,1915	0,4067	542,7	DSO
17	0,2043	1,977E+2	6,417E-3	9,225E+4	2,935E+4	0,3181	0,159	0,6548	603,7	DSO
18	0,329	2,053E+2	1,034E-2	5,897E+4	2,037E+4	0,3454	0,1207	1,054	626,6	DSO
19	0,5297	2,028E+2	1,664E-2	3,599E+4	1,308E+4	0,3634	0,08396	1,698	619,2	DSO
20	0,853	1,93E+2	2,68E-2	2,118E+4	7,948E+3	0,3752	0,05157	2,734	589,1	DSO
21	1,373	1,809E+2	4,314E-2	1,23E+4	4,7E+3	0,3819	0,02556	4,402	552,2	DSO
22	2,212	1,68E+2	6,948E-2	7,097E+3	2,709E+3	0,3817	0,006668	7,089	512,9	DSO
23	3,561	1,664E+2	1,119E-1	4,377E+3	1,635E+3	0,3735	-0,00554	11,41	507,9	DSO
24	5,735	1,68E+2	1,802E-1	2,752E+3	1,004E+3	0,3649	-0,01007	18,38	513	DSO
25	9,234	1,827E+2	2,901E-1	1,849E+3	7,038E+2	0,3806	-0,01365	29,6	557,8	DSO
26	14,87	2,014E+2	4,672E-1	1,223E+3	5,818E+2	0,4757	-0,01668	47,66	614,9	DSO
27	23,94	2,001E+2	7,521E-1	6,652E+2	5,059E+2	0,7606	-0,01722	76,74	610,8	DSO
28	38,55	1,94E+2	1,211E0	3,274E+2	3,822E+2	1,168	-0,01804	123,6	592,4	DSO
29	62,08	1,826E+2	1,95E0	1,482E+2	2,54E+2	1,714	-0,02238	199	557,4	DSO
30	99,99	1,942E+2	3,141E0	7,696E+1	1,783E+2	2,317	-0,02284	320,5	592,9	DSO
